embedding_boost,text_boost,Retrieval Accuracy,Average Position,MRR,Average Precision,Average Recall,Total Questions,Total Openai json error,Total contexts found,Total positions sum
0.25,0.0,0.217,2.493,0.123,0.047,0.1,318,0,69,172
0.5,0.0,0.223,2.507,0.127,0.048,0.101,318,0,71,178
0.75,0.0,0.217,2.464,0.125,0.047,0.1,318,0,69,170
1.0,0.0,0.23,2.507,0.131,0.05,0.102,318,0,73,183
0.0,0.25,0.44,2.043,0.307,0.101,0.237,318,0,140,286
0.25,0.25,0.45,2.056,0.314,0.103,0.242,318,0,143,294
0.5,0.25,0.447,2.063,0.311,0.103,0.242,318,0,142,293
0.75,0.25,0.45,2.098,0.307,0.104,0.245,318,0,143,300
1.0,0.25,0.469,2.128,0.317,0.108,0.249,318,0,149,317
0.0,0.5,0.44,2.043,0.308,0.101,0.238,318,0,140,286
0.25,0.5,0.453,2.083,0.313,0.105,0.244,318,0,144,300
0.5,0.5,0.456,2.048,0.319,0.104,0.243,318,0,145,297
0.75,0.5,0.453,2.111,0.312,0.103,0.242,318,0,144,304
1.0,0.5,0.456,2.103,0.312,0.104,0.243,318,0,145,305
0.0,0.75,0.44,2.036,0.308,0.101,0.238,318,0,140,285
0.25,0.75,0.447,2.085,0.307,0.104,0.243,318,0,142,296
0.5,0.75,0.447,2.113,0.306,0.103,0.242,318,0,142,300
0.75,0.75,0.462,2.116,0.317,0.105,0.243,318,0,147,311
1.0,0.75,0.447,2.077,0.309,0.102,0.24,318,0,142,295
0.0,1.0,0.443,2.014,0.313,0.102,0.239,318,0,141,284
0.25,1.0,0.453,2.049,0.316,0.105,0.244,318,0,144,295
0.5,1.0,0.447,2.063,0.311,0.104,0.243,318,0,142,293
0.75,1.0,0.45,2.091,0.31,0.103,0.241,318,0,143,299
1.0,1.0,0.45,2.077,0.312,0.103,0.24,318,0,143,297
