embedding_boost,text_boost,Retrieval Accuracy,Average Position,MRR,Average Precision,Average Recall,Total Questions,Total Openai json error,Total contexts found,Total positions sum
4.25,6.75,0.453,2.09,0.311,0.104,0.242,318,0,144,301
4.5,6.75,0.459,2.089,0.317,0.105,0.244,318,0,146,305
4.75,6.75,0.456,2.131,0.31,0.104,0.242,318,0,145,309
5.0,6.75,0.45,2.077,0.312,0.103,0.242,318,0,143,297
5.25,6.75,0.465,2.074,0.322,0.106,0.244,318,0,148,307
5.5,6.75,0.45,2.077,0.31,0.103,0.241,318,0,143,297
5.75,6.75,0.453,2.097,0.312,0.103,0.242,318,0,144,302
6.0,6.75,0.456,2.11,0.312,0.104,0.242,318,0,145,306
6.25,6.75,0.453,2.111,0.31,0.103,0.242,318,0,144,304
6.5,6.75,0.456,2.131,0.311,0.104,0.242,318,0,145,309
6.75,6.75,0.453,2.076,0.313,0.104,0.243,318,0,144,299
7.0,6.75,0.443,2.057,0.308,0.101,0.24,318,0,141,290
0.0,7.0,0.44,2.021,0.309,0.101,0.238,318,0,140,283
0.25,7.0,0.447,2.028,0.314,0.104,0.243,318,0,142,288
0.5,7.0,0.45,2.035,0.316,0.104,0.243,318,0,143,291
0.75,7.0,0.443,2.014,0.312,0.103,0.242,318,0,141,284
1.0,7.0,0.447,2.007,0.314,0.104,0.243,318,0,142,285
1.25,7.0,0.437,2.05,0.306,0.102,0.24,318,0,139,285
1.5,7.0,0.443,1.972,0.316,0.103,0.242,318,0,141,278
1.75,7.0,0.447,2.014,0.313,0.104,0.242,318,0,142,286
2.0,7.0,0.437,1.986,0.31,0.102,0.241,318,0,139,276
2.25,7.0,0.443,2.05,0.308,0.103,0.243,318,0,141,289
2.5,7.0,0.447,2.063,0.311,0.104,0.243,318,0,142,293
2.75,7.0,0.44,2.0,0.313,0.103,0.243,318,0,140,280
3.0,7.0,0.45,2.063,0.314,0.104,0.244,318,0,143,295
3.25,7.0,0.443,2.043,0.309,0.103,0.242,318,0,141,288
3.5,7.0,0.443,2.043,0.31,0.103,0.242,318,0,141,288
3.75,7.0,0.443,2.043,0.311,0.104,0.245,318,0,141,288
4.0,7.0,0.45,2.077,0.311,0.105,0.246,318,0,143,297
4.25,7.0,0.45,2.07,0.312,0.104,0.245,318,0,143,296
4.5,7.0,0.443,2.071,0.308,0.102,0.242,318,0,141,292
4.75,7.0,0.453,2.09,0.313,0.103,0.241,318,0,144,301
5.0,7.0,0.456,2.083,0.314,0.104,0.243,318,0,145,302
5.25,7.0,0.447,2.099,0.308,0.102,0.24,318,0,142,298
5.5,7.0,0.456,2.076,0.316,0.104,0.243,318,0,145,301
5.75,7.0,0.443,2.085,0.306,0.101,0.24,318,0,141,294
6.0,7.0,0.453,2.083,0.314,0.103,0.242,318,0,144,300
6.25,7.0,0.45,2.049,0.314,0.103,0.241,318,0,143,293
6.5,7.0,0.447,2.063,0.311,0.102,0.24,318,0,142,293
6.75,7.0,0.453,2.083,0.313,0.104,0.243,318,0,144,300
7.0,7.0,0.459,2.055,0.318,0.104,0.243,318,0,146,300
